AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temp,Posicion
0.32,0.35,0.74,6.19,-2.62,1.18,38.22,Centro
0.33,0.36,0.74,-9.44,-6.92,5.12,38.23,Centro
0.33,0.34,0.74,-11.22,-0.38,-4.00,38.23,Centro
0.31,0.34,0.75,-6.33,-10.31,3.17,38.21,Centro
0.30,0.35,0.67,7.56,4.05,0.49,38.21,Centro
0.34,0.34,0.75,-3.74,4.65,-1.56,38.20,Centro
0.33,0.35,0.74,2.07,-12.56,2.83,38.23,Centro
0.33,0.34,0.75,3.14,16.00,-3.37,38.20,Centro
0.32,0.33,0.75,-6.72,-13.21,-0.15,38.24,Centro
0.32,0.34,0.74,-13.63,-13.36,-1.76,38.21,Centro
0.33,0.35,0.72,-6.58,0.58,3.78,38.19,Centro
0.33,0.34,0.74,5.82,16.00,4.44,38.21,Centro
0.33,0.33,0.74,-0.78,8.68,-1.46,38.23,Centro
0.34,0.34,0.74,-6.92,-16.00,-4.05,38.21,Centro
0.32,0.34,0.75,-10.66,-6.39,-0.76,38.20,Centro
0.33,0.35,0.75,-8.93,-16.00,-1.76,38.22,Centro
0.32,0.35,0.74,-12.66,11.36,4.85,38.20,Centro
0.31,0.34,0.73,-0.47,-16.00,0.46,38.21,Centro
0.32,0.34,0.74,-4.12,8.23,4.19,38.20,Centro
0.31,0.34,0.75,-1.84,-2.10,2.44,38.23,Centro
0.34,0.34,0.75,-1.53,-13.17,-1.12,38.21,Centro
0.31,0.34,0.75,-2.69,-2.85,2.10,38.22,Centro
0.31,0.33,0.75,-16.00,-5.00,-3.51,38.21,Centro
0.35,0.34,0.74,4.20,1.15,2.25,38.18,Centro
0.32,0.34,0.75,-6.97,-3.57,-10.34,38.20,Centro
0.32,0.34,0.74,1.42,-3.19,-0.93,38.16,Centro
0.34,0.33,0.75,-3.19,-3.89,-0.78,38.21,Centro
0.33,0.35,0.75,-4.38,3.26,-2.69,38.20,Centro
0.33,0.34,0.74,-6.92,8.38,0.23,38.21,Centro
0.31,0.34,0.74,8.28,10.11,-0.46,38.20,Centro
0.32,0.34,0.74,-4.29,5.25,1.17,38.21,Centro
0.34,0.33,0.74,-4.52,14.34,0.24,38.20,Centro
0.32,0.34,0.74,6.11,-9.75,1.71,38.21,Centro
0.34,0.35,0.75,-0.21,7.67,1.90,38.19,Centro
0.33,0.34,0.75,-2.08,16.00,-0.93,38.19,Centro
0.32,0.35,0.75,-4.38,-6.96,0.10,38.20,Centro
0.33,0.34,0.74,8.22,4.27,6.00,38.20,Centro
0.34,0.34,0.73,3.52,-11.03,1.51,38.19,Centro
0.34,0.34,0.75,5.31,-1.27,5.56,38.20,Centro
0.33,0.34,0.74,3.95,5.52,0.59,38.19,Centro
0.36,0.39,0.68,-5.40,12.57,-3.27,38.19,Centro
0.33,0.33,0.74,2.04,-2.32,-1.17,38.18,Centro
0.33,0.34,0.75,-10.24,-1.72,-2.83,38.18,Centro
0.32,0.34,0.75,-2.12,-6.35,0.10,38.16,Centro
0.33,0.34,0.75,0.51,15.54,-1.56,38.19,Centro
0.31,0.34,0.74,3.99,-6.05,-0.63,38.19,Centro
0.32,0.33,0.74,-12.07,2.16,-2.25,38.23,Centro
0.33,0.35,0.76,-3.44,0.62,2.40,38.17,Centro
0.32,0.33,0.74,-5.27,3.36,-0.49,38.20,Centro
0.33,0.33,0.74,7.77,-3.75,-1.38,38.20,Centro
0.32,0.35,0.75,-5.44,1.52,-1.42,38.20,Centro
0.33,0.35,0.73,-16.00,-11.67,0.97,38.19,Centro
0.32,0.34,0.75,1.15,-8.99,-1.61,38.19,Centro
0.34,0.34,0.75,-0.00,8.31,0.34,38.17,Centro
0.33,0.34,0.74,-1.57,-1.76,-3.61,38.20,Centro
0.34,0.34,0.75,5.01,-12.08,-1.81,38.20,Centro
0.33,0.34,0.75,-5.44,16.00,-1.07,38.19,Centro
0.33,0.35,0.74,2.63,1.30,-4.96,38.20,Centro
0.32,0.34,0.73,6.33,15.16,3.11,38.20,Centro
0.33,0.34,0.74,-7.39,9.13,-2.10,38.21,Centro
0.31,0.35,0.74,-4.46,-10.89,-0.29,38.14,Centro
0.33,0.33,0.74,-7.01,-5.49,7.85,38.18,Centro
0.34,0.34,0.75,-1.40,10.60,4.87,38.19,Centro
0.33,0.34,0.75,-8.45,0.24,-2.25,38.21,Centro
0.34,0.33,0.74,8.28,12.49,0.97,38.20,Centro
0.32,0.34,0.75,-16.00,8.31,-7.37,38.16,Centro
0.33,0.34,0.74,-2.34,13.66,-1.90,38.17,Centro
0.32,0.34,0.74,-1.40,3.03,-1.56,38.18,Centro
0.33,0.34,0.74,5.69,-2.62,2.97,38.18,Centro
0.32,0.35,0.74,8.28,16.00,6.34,38.18,Centro
0.34,0.34,0.75,-5.27,4.75,-0.29,38.18,Centro
0.33,0.33,0.75,-6.97,12.87,-1.37,38.17,Centro
0.33,0.34,0.75,0.21,2.13,-1.81,38.20,Centro
0.33,0.35,0.74,8.11,-0.10,-0.92,38.19,Centro
